Card #,Hero,Variation,Treatment,Weapon,Notation,Power,Athlete Inspiration,Play Cost,Play Ability
N97,Muffin Man,First Edition,Tecmo News Battlefoil,Hex,SSP,170,Baker Mayfield,0,
N98,Youngblood,First Edition,Tecmo News Battlefoil,Hex,SSP,165,Bryce Young,0,
N99,Switchblade,Tecmo Bowl,Tecmo News Battlefoil,Hex,SSP,165,Travis Hunter,0,
N100,McVillain,First Edition,Tecmo News Battlefoil,Hex,SSP,165,Tetairoa McMillan,0,
N101,Quarter Staff,First Edition,Tecmo News Battlefoil,Hex,SSP,165,Matthew Stafford,0,
N102,Judkernaught,First Edition,Tecmo News Battlefoil,Hex,SSP,165,Quinshon Judkins,0,
N103,Jeanetic,Tecmo Bowl,Tecmo News Battlefoil,Hex,SSP,165,Ashton Jeanty,0,
N104,Coinslot,First Edition,Tecmo News Battlefoil,Hex,SSP,160,Daniel Jones,0,
N105,Chanesaw,First Edition,Tecmo News Battlefoil,Hex,SSP,160,Devon Achane,0,
N106,Mr. Irrelevant,Tecmo Bowl,Tecmo News Battlefoil,Hex,SSP,160,Brock Purdy,0,
N107,Shadowstrike,First Edition,Tecmo News Battlefoil,Hex,SSP,160,Davante Adams,0,
N108,Shepherd,Tecmo Bowl,Tecmo News Battlefoil,Hex,SSP,160,CeeDee Lamb,0,
N109,Scary,Tecmo Bowl,Tecmo News Battlefoil,Hex,SSP,160,Terry McLaurin,0,
N110,Lawman,Tecmo Bowl,Tecmo News Battlefoil,Hex,SSP,155,Trevor Lawrence,0,
N111,Buttman,First Edition,Tecmo News Battlefoil,Hex,SSP,155,Marion Butts,0,
N112,Criscross,First Edition,Tecmo News Battlefoil,Hex,SSP,155,Cris Carter,0,
N113,Rockhead,First Edition,Tecmo News Battlefoil,Hex,SSP,155,Chris Doleman,0,
N114,Brawn,Tecmo Bowl,Tecmo News Battlefoil,Hex,SSP,155,A.J. Brown,0,
N115,DeVaulta,First Edition,Tecmo News Battlefoil,Hex,SSP,155,DeVonta Smith,0,
N116,Hot Sauce,First Edition,Tecmo News Battlefoil,Hex,SSP,150,Sauce Gardener,0,
N117,First Leap,First Edition,Tecmo News Battlefoil,Hex,SSP,150,LeRoy Butler,0,
N118,Friday,First Edition,Tecmo News Battlefoil,Hex,SSP,150,Deebo Samuel,0,
N119,Barreler,Tecmo Bowl,Tecmo News Battlefoil,Hex,SSP,150,Cooper Kupp,0,
N120,Watterslide,First Edition,Tecmo News Battlefoil,Hex,SSP,150,Ricky Watters,0,
N121,Cannon,First Edition,Tecmo News Battlefoil,Hex,SSP,150,Rich Gannon,0,
N122,Furnest,First Edition,Tecmo News Battlefoil,Hex,SSP,145,Earnest Byner,0,
N123,Hot Rod,First Edition,Tecmo News Battlefoil,Hex,SSP,145,Rodney Hampton,0,
N124,Golden Bullet,Tecmo Bowl,Tecmo News Battlefoil,Hex,SSP,145,Matthew Golden,0,
N125,Billiard,First Edition,Tecmo News Battlefoil,Hex,SSP,145,Dalton Hillard,0,
N126,Ryptillian,First Edition,Tecmo News Battlefoil,Hex,SSP,145,Mark Rypien,0,
N127,Flippa,First Edition,Tecmo News Battlefoil,Hex,SSP,145,Flipper Anderson,0,
N128,Slaughterhouse,First Edition,Tecmo News Battlefoil,Hex,SSP,140,Webster Slaughter,0,
N129,Hammer,First Edition,Tecmo News Battlefoil,Hex,SSP,140,Omarion Hampton,0,
N130,Majik Man,First Edition,Tecmo News Battlefoil,Hex,SSP,140,Don Majkowski,0,
N131,A Bear,First Edition,Tecmo News Battlefoil,Hex,SSP,140,Bobby Hebert,0,
N132,Moose,First Edition,Tecmo News Battlefoil,Hex,SSP,140,Daryl Johnston,0,
N133,Hillicopter,First Edition,Tecmo News Battlefoil,Hex,SSP,140,Drew Hill,0,
N134,Bojax,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,195,Bo Jackson,0,
N135,Attak,Unmasked,Tecmo News Battlefoil,Glow,SSP,195,Dak Prescott,0,
N136,Pukadot,Unmasked,Tecmo News Battlefoil,Glow,SSP,195,Puka Nacua,0,
N137,Duke of Denver,Debut,Tecmo News Battlefoil,Glow,SSP,190,John Elway,0,
N138,Brees,Debut,Tecmo News Battlefoil,Glow,SSP,190,Drew Brees,0,
N139,Fear Himself,Debut,Tecmo News Battlefoil,Glow,SSP,190,Lawrence Taylor,0,
N140,Mossed,Debut,Tecmo News Battlefoil,Glow,SSP,190,Randy Moss,0,
N141,Nigerian Nightmare,Debut,Tecmo News Battlefoil,Glow,SSP,190,Christian Okoye,0,
N142,Marino,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,185,Dan Marino,0,
N143,Young-Gunner,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,185,Steve Young,0,
N144,Gronk,Debut,Tecmo News Battlefoil,Glow,SSP,185,Rob Gronkowski,0,
N145,Hitt Man,Debut,Tecmo News Battlefoil,Glow,SSP,185,Ronnie Lott,0,
N146,Island Time,Debut,Tecmo News Battlefoil,Glow,SSP,185,Darrelle Revis,0,
N147,Emmitt-164,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,185,Emmitt Smith,0,
N148,Troy of Dallas,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,180,Troy Aikman,0,
N149,Goggles,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,180,Eric Dickerson,0,
N150,Howietzer,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,180,Howie Long,0,
N151,Thurmanator,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,180,Thurman Thomas,0,
N152,Bus,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,180,Jerome Bettis,0,
N153,Machine Gun,Debut,Tecmo News Battlefoil,Glow,SSP,180,Jim Kelly,0,
N154,Cutback,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,175,Barry Sanders,0,
N155,Sea-Largent,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,175,Steve Largent,0,
N156,Boz,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,175,Brian Bosworth,0,
N157,Allenwrench,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,175,Marcus Allen,0,
N158,Ultimate Weapon,Debut,Tecmo News Battlefoil,Glow,SSP,175,Randall Cunningham,0,
N159,Shuffler,Debut,Tecmo News Battlefoil,Glow,SSP,175,Jim McMahon,0,
N160,Boom,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,170,Boomer Esiason,0,
N161,Dentist,Debut,Tecmo News Battlefoil,Glow,SSP,170,Richard Dent,0,
N162,Vinniverde,Debut,Tecmo News Battlefoil,Glow,SSP,170,Vinny Testaverde,0,
N163,Afterbern,Debut,Tecmo News Battlefoil,Glow,SSP,170,Bernie Kosar,0,
N164,Sack King,Debut,Tecmo News Battlefoil,Glow,SSP,170,Bruce Smith,0,
N165,Incredible Faulk,Debut,Tecmo News Battlefoil,Glow,SSP,170,Marshall Faulk,0,
N166,Mann-O-War,Debut,Tecmo News Battlefoil,Glow,SSP,170,Charles Mann,0,
N167,Timmy,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,165,Tim Brown,0,
N168,Haley's Comet,Debut,Tecmo News Battlefoil,Glow,SSP,165,Charles Haley,0,
N169,Ickey,Debut,Tecmo News Battlefoil,Glow,SSP,165,Ickey Woods,0,
N170,Full Moon,Debut,Tecmo News Battlefoil,Glow,SSP,165,Warren Moon,0,
N171,Philament,Debut,Tecmo News Battlefoil,Glow,SSP,165,Phil Simms,0,
N172,Key Keeper,Debut,Tecmo News Battlefoil,Glow,SSP,165,Luke Kuechly,0,
N173,T.D.,Debut,Tecmo News Battlefoil,Glow,SSP,165,Tony Dorsett,0,
N174,Sterling,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,160,Sterling Sharpe,0,
N175,Too Tall,Debut,Tecmo News Battlefoil,Glow,SSP,160,"Ed ""Too Tall"" Jones",0,
N176,Fridge,Debut,Tecmo News Battlefoil,Glow,SSP,160,William Perry,0,
N177,Samurai Mike,Debut,Tecmo News Battlefoil,Glow,SSP,160,Mike Singletary,0,
N178,Monk,Debut,Tecmo News Battlefoil,Glow,SSP,160,Art Monk,0,
N179,Krieghawk,Debut,Tecmo News Battlefoil,Glow,SSP,160,Dave Krieg,0,
N180,Undrafted Wrecking Ball,Debut,Tecmo News Battlefoil,Glow,SSP,160,Gary Clark,0,
N181,Highjump,Debut,Tecmo News Battlefoil,Glow,SSP,160,Alonzo Highsmith,0,
N182,Curt Locker,Debut,Tecmo News Battlefoil,Glow,SSP,160,Curt Warner,0,
N183,Calf Roper,Debut,Tecmo News Battlefoil,Glow,SSP,155,Eric Metcalf,0,
N184,Novacaine,Debut,Tecmo News Battlefoil,Glow,SSP,155,Jay Novacek,0,
N185,Carrier,Debut,Tecmo News Battlefoil,Glow,SSP,155,Mark Carrier,0,
N186,Amigo One,Debut,Tecmo News Battlefoil,Glow,SSP,155,Mark Jackson,0,
N187,Quick Draw,Debut,Tecmo News Battlefoil,Glow,SSP,155,Mike Quick,0,
N188,Bank Robber,Debut,Tecmo News Battlefoil,Glow,SSP,155,Carl Banks,0,
N189,Claymore,Debut,Tecmo News Battlefoil,Glow,SSP,155,Clay Matthews Jr.,0,
N190,Biscuit,Debut,Tecmo News Battlefoil,Glow,SSP,155,Cornelius Bennett,0,
N191,Underdoug,Debut,Tecmo News Battlefoil,Glow,SSP,155,Doug Williams,0,
N192,Mountain Drew,Debut,Tecmo News Battlefoil,Glow,SSP,150,Drew Bledsoe,0,
N193,Dwight Noise,Debut,Tecmo News Battlefoil,Glow,SSP,150,Dwight Stephenson,0,
N194,Green Light,Debut,Tecmo News Battlefoil,Glow,SSP,150,Harold Green,0,
N195,K-Mack,Debut,Tecmo News Battlefoil,Glow,SSP,150,Kevin Mack,0,
N196,Pepper Spray,Debut,Tecmo News Battlefoil,Glow,SSP,150,Pepper Johnson,0,
N197,The Manster,Debut,Tecmo News Battlefoil,Glow,SSP,150,Randy White,0,
N198,Woodchipper,Debut,Tecmo News Battlefoil,Glow,SSP,150,Rod Woodson,0,
N199,Gaultfather,Debut,Tecmo News Battlefoil,Glow,SSP,150,Willie Gault,0,
N200,Jolly Roger,Debut,Tecmo News Battlefoil,Glow,SSP,150,Roger Craig,0,
N201,Sevenring,First Edition,Tecmo News Battlefoil,Glow,SSP,190,Tom Brady,0,
N202,Joe Cool,First Edition,Tecmo News Battlefoil,Glow,SSP,190,Joe Montana,0,
N203,Neon,First Edition,Tecmo News Battlefoil,Glow,SSP,185,Deion Sanders,0,
N204,Sheriff,First Edition,Tecmo News Battlefoil,Glow,SSP,185,Peyton Manning,0,
N205,Sweetest of Sweet,First Edition,Tecmo News Battlefoil,Glow,SSP,180,Walter Payton,0,
N206,Hands,First Edition,Tecmo News Battlefoil,Glow,SSP,180,Jerry Rice,0,
N207,Hands,First Edition,Tecmo News Battlefoil,Glow,SSP,140,Jerry Rice,0,
N208,Joe Cool,First Edition,Tecmo News Battlefoil,Glow,SSP,140,Joe Montana,0,
N209,Merlomes,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,140,Patrick Mahomes,0,
N210,Dart-Board,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,140,Jaxson Dart,0,
N211,Bison,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,140,Josh Allen,0,
N212,Warp,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,140,Lamar Jackson,0,
N213,Bayou,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,135,Ja'Marr Chase,0,
N214,J-Jetts,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,135,Justin Jefferson,0,
N215,Reindeer Hunter,First Edition,Tecmo News Battlefoil,Glow,SSP,135,Myles Garrett,0,
N216,Swervin’,First Edition,Tecmo News Battlefoil,Glow,SSP,135,Michael Irvin,0,
N217,MoD,First Edition,Tecmo News Battlefoil,Glow,SSP,135,Reggie White,0,
N218,Quads,First Edition,Tecmo News Battlefoil,Glow,SSP,135,Saquon Barkley,0,
N219,Darn Old,First Edition,Tecmo News Battlefoil,Glow,SSP,130,Sam Darnold,0,
N220,Phoenix,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,130,Bo Nix,0,
N221,Jax-In-the-Box,First Edition,Tecmo News Battlefoil,Glow,SSP,130,Jaxon Smith-Njigba,0,
N222,Eagle-Eye,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,130,Jalen Hurts,0,
N223,Shrouded,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,130,C.J. Stroud,0,
N224,Myracle,First Edition,Tecmo News Battlefoil,Glow,SSP,130,Jahmyr Gibbs,0,
N225,Skatter,First Edition,Tecmo News Battlefoil,Glow,SSP,125,Cam Skattebo,0,
N226,Warden,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,125,Cam Ward,0,
N227,Yeti,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,125,Travis Kelce,0,
N228,BrockNess,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,125,Brock Bowers,0,
N229,McArmyKnife,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,125,Christian McCaffrey,0,
N230,Muffin Man,First Edition,Tecmo News Battlefoil,Glow,SSP,125,Baker Mayfield,0,
N231,Youngblood,First Edition,Tecmo News Battlefoil,Glow,SSP,120,Bryce Young,0,
N232,Switchblade,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,120,Travis Hunter,0,
N233,McVillain,First Edition,Tecmo News Battlefoil,Glow,SSP,120,Tetairoa McMillan,0,
N234,Quarter Staff,First Edition,Tecmo News Battlefoil,Glow,SSP,120,Matthew Stafford,0,
N235,Judkernaught,First Edition,Tecmo News Battlefoil,Glow,SSP,120,Quinshon Judkins,0,
N236,Jeanetic,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,120,Ashton Jeanty,0,
N237,Coinslot,First Edition,Tecmo News Battlefoil,Glow,SSP,115,Daniel Jones,0,
N238,Chanesaw,First Edition,Tecmo News Battlefoil,Glow,SSP,115,Devon Achane,0,
N239,Mr. Irrelevant,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,115,Brock Purdy,0,
N240,Shadowstrike,First Edition,Tecmo News Battlefoil,Glow,SSP,115,Davante Adams,0,
N241,Shepherd,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,115,CeeDee Lamb,0,
N242,Scary,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,115,Terry McLaurin,0,
N243,Lawman,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,110,Trevor Lawrence,0,
N244,Buttman,First Edition,Tecmo News Battlefoil,Glow,SSP,110,Marion Butts,0,
N245,Criscross,First Edition,Tecmo News Battlefoil,Glow,SSP,110,Cris Carter,0,
N246,Rockhead,First Edition,Tecmo News Battlefoil,Glow,SSP,110,Chris Doleman,0,
N247,Brawn,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,110,A.J. Brown,0,
N248,DeVaulta,First Edition,Tecmo News Battlefoil,Glow,SSP,110,DeVonta Smith,0,
N249,Hot Sauce,First Edition,Tecmo News Battlefoil,Glow,SSP,105,Sauce Gardener,0,
N250,First Leap,First Edition,Tecmo News Battlefoil,Glow,SSP,105,LeRoy Butler,0,
N251,Friday,First Edition,Tecmo News Battlefoil,Glow,SSP,105,Deebo Samuel,0,
N252,Barreler,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,105,Cooper Kupp,0,
N253,Watterslide,First Edition,Tecmo News Battlefoil,Glow,SSP,105,Ricky Watters,0,
N254,Cannon,First Edition,Tecmo News Battlefoil,Glow,SSP,105,Rich Gannon,0,
N255,Furnest,First Edition,Tecmo News Battlefoil,Glow,SSP,100,Earnest Byner,0,
N256,Hot Rod,First Edition,Tecmo News Battlefoil,Glow,SSP,100,Rodney Hampton,0,
N257,Golden Bullet,Tecmo Bowl,Tecmo News Battlefoil,Glow,SSP,100,Matthew Golden,0,
N258,Billiard,First Edition,Tecmo News Battlefoil,Glow,SSP,100,Dalton Hillard,0,
N259,Ryptillian,First Edition,Tecmo News Battlefoil,Glow,SSP,100,Mark Rypien,0,
N260,Flippa,First Edition,Tecmo News Battlefoil,Glow,SSP,100,Flipper Anderson,0,
N261,Slaughterhouse,First Edition,Tecmo News Battlefoil,Glow,SSP,95,Webster Slaughter,0,
N262,Hammer,First Edition,Tecmo News Battlefoil,Glow,SSP,95,Omarion Hampton,0,
N263,Majik Man,First Edition,Tecmo News Battlefoil,Glow,SSP,95,Don Majkowski,0,
N264,A Bear,First Edition,Tecmo News Battlefoil,Glow,SSP,95,Bobby Hebert,0,
N265,Moose,First Edition,Tecmo News Battlefoil,Glow,SSP,95,Daryl Johnston,0,
N266,Hillicopter,First Edition,Tecmo News Battlefoil,Glow,SSP,95,Drew Hill,0,
N267,Bojax,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,190,Bo Jackson,0,
N268,Attak,Unmasked,Tecmo News Battlefoil,Fire,SP,190,Dak Prescott,0,
N269,Pukadot,Unmasked,Tecmo News Battlefoil,Fire,SP,190,Puka Nacua,0,
N270,Duke of Denver,Debut,Tecmo News Battlefoil,Fire,SP,185,John Elway,0,
N271,Brees,Debut,Tecmo News Battlefoil,Fire,SP,185,Drew Brees,0,
N272,Fear Himself,Debut,Tecmo News Battlefoil,Fire,SP,185,Lawrence Taylor,0,
N273,Mossed,Debut,Tecmo News Battlefoil,Fire,SP,185,Randy Moss,0,
N274,Nigerian Nightmare,Debut,Tecmo News Battlefoil,Fire,SP,185,Christian Okoye,0,
N275,Marino,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,180,Dan Marino,0,
N276,Young-Gunner,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,180,Steve Young,0,
N277,Gronk,Debut,Tecmo News Battlefoil,Fire,SP,180,Rob Gronkowski,0,
N278,Hitt Man,Debut,Tecmo News Battlefoil,Fire,SP,180,Ronnie Lott,0,
N279,Island Time,Debut,Tecmo News Battlefoil,Fire,SP,180,Darrelle Revis,0,
N280,Emmitt-164,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,180,Emmitt Smith,0,
N281,Troy of Dallas,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,175,Troy Aikman,0,
N282,Goggles,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,175,Eric Dickerson,0,
N283,Howietzer,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,175,Howie Long,0,
N284,Thurmanator,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,175,Thurman Thomas,0,
N285,Bus,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,175,Jerome Bettis,0,
N286,Machine Gun,Debut,Tecmo News Battlefoil,Fire,SP,175,Jim Kelly,0,
N287,Cutback,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,165,Barry Sanders,0,
N288,Sea-Largent,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,165,Steve Largent,0,
N289,Boz,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,165,Brian Bosworth,0,
N290,Allenwrench,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,165,Marcus Allen,0,
N291,Ultimate Weapon,Debut,Tecmo News Battlefoil,Fire,SP,165,Randall Cunningham,0,
N292,Shuffler,Debut,Tecmo News Battlefoil,Fire,SP,165,Jim McMahon,0,
N293,Boom,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,160,Boomer Esiason,0,
N294,Dentist,Debut,Tecmo News Battlefoil,Fire,SP,160,Richard Dent,0,
N295,Vinniverde,Debut,Tecmo News Battlefoil,Fire,SP,160,Vinny Testaverde,0,
N296,Afterbern,Debut,Tecmo News Battlefoil,Fire,SP,160,Bernie Kosar,0,
N297,Sack King,Debut,Tecmo News Battlefoil,Fire,SP,160,Bruce Smith,0,
N298,Incredible Faulk,Debut,Tecmo News Battlefoil,Fire,SP,160,Marshall Faulk,0,
N299,Mann-O-War,Debut,Tecmo News Battlefoil,Fire,SP,160,Charles Mann,0,
N300,Timmy,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,155,Tim Brown,0,
N301,Haley's Comet,Debut,Tecmo News Battlefoil,Fire,SP,155,Charles Haley,0,
N302,Ickey,Debut,Tecmo News Battlefoil,Fire,SP,155,Ickey Woods,0,
N303,Full Moon,Debut,Tecmo News Battlefoil,Fire,SP,155,Warren Moon,0,
N304,Philament,Debut,Tecmo News Battlefoil,Fire,SP,155,Phil Simms,0,
N305,Key Keeper,Debut,Tecmo News Battlefoil,Fire,SP,155,Luke Kuechly,0,
N306,T.D.,Debut,Tecmo News Battlefoil,Fire,SP,155,Tony Dorsett,0,
N307,Sterling,Tecmo Bowl,Tecmo News Battlefoil,Fire,SP,150,Sterling Sharpe,0,
N308,Too Tall,Debut,Tecmo News Battlefoil,Fire,SP,150,"Ed ""Too Tall"" Jones",0,
N309,Fridge,Debut,Tecmo News Battlefoil,Fire,SP,150,William Perry,0,
N310,Samurai Mike,Debut,Tecmo News Battlefoil,Fire,SP,150,Mike Singletary,0,
N311,Monk,Debut,Tecmo News Battlefoil,Fire,SP,150,Art Monk,0,
N312,Krieghawk,Debut,Tecmo News Battlefoil,Fire,SP,150,Dave Krieg,0,
N313,Undrafted Wrecking Ball,Debut,Tecmo News Battlefoil,Fire,SP,150,Gary Clark,0,
N314,Highjump,Debut,Tecmo News Battlefoil,Fire,SP,150,Alonzo Highsmith,0,
N315,Curt Locker,Debut,Tecmo News Battlefoil,Fire,SP,150,Curt Warner,0,
N316,Calf Roper,Debut,Tecmo News Battlefoil,Fire,SP,145,Eric Metcalf,0,
N317,Novacaine,Debut,Tecmo News Battlefoil,Fire,SP,145,Jay Novacek,0,
N318,Carrier,Debut,Tecmo News Battlefoil,Fire,SP,145,Mark Carrier,0,
N319,Amigo One,Debut,Tecmo News Battlefoil,Fire,SP,145,Mark Jackson,0,
N320,Quick Draw,Debut,Tecmo News Battlefoil,Fire,SP,145,Mike Quick,0,
N321,Bank Robber,Debut,Tecmo News Battlefoil,Fire,SP,145,Carl Banks,0,
N322,Claymore,Debut,Tecmo News Battlefoil,Fire,SP,145,Clay Matthews Jr.,0,
N323,Biscuit,Debut,Tecmo News Battlefoil,Fire,SP,145,Cornelius Bennett,0,
N324,Underdoug,Debut,Tecmo News Battlefoil,Fire,SP,145,Doug Williams,0,
N325,Mountain Drew,Debut,Tecmo News Battlefoil,Fire,SP,140,Drew Bledsoe,0,
N326,Dwight Noise,Debut,Tecmo News Battlefoil,Fire,SP,140,Dwight Stephenson,0,
N327,Green Light,Debut,Tecmo News Battlefoil,Fire,SP,140,Harold Green,0,
N328,K-Mack,Debut,Tecmo News Battlefoil,Fire,SP,140,Kevin Mack,0,
N329,Pepper Spray,Debut,Tecmo News Battlefoil,Fire,SP,140,Pepper Johnson,0,
N330,The Manster,Debut,Tecmo News Battlefoil,Fire,SP,140,Randy White,0,
N331,Woodchipper,Debut,Tecmo News Battlefoil,Fire,SP,140,Rod Woodson,0,
N332,Gaultfather,Debut,Tecmo News Battlefoil,Fire,SP,140,Willie Gault,0,
N333,Jolly Roger,Debut,Tecmo News Battlefoil,Fire,SP,140,Roger Craig,0,
N334,Sevenring,First Edition,Tecmo News Battlefoil,Fire,SP,185,Tom Brady,0,
N335,Joe Cool,First Edition,Tecmo News Battlefoil,Fire,SP,185,Joe Montana,0,
N336,Neon,First Edition,Tecmo News Battlefoil,Fire,SP,180,Deion Sanders,0,
N337,Sheriff,First Edition,Tecmo News Battlefoil,Fire,SP,180,Peyton Manning,0,
N338,Sweetest of Sweet,First Edition,Tecmo News Battlefoil,Fire,SP,175,Walter Payton,0,
N339,Hands,First Edition,Tecmo News Battlefoil,Fire,SP,175,Jerry Rice,0,
N340,Hands,First Edition,Tecmo News Battlefoil,Fire,,135,Jerry Rice,0,
N341,Joe Cool,First Edition,Tecmo News Battlefoil,Fire,,135,Joe Montana,0,
N342,Merlomes,Tecmo Bowl,Tecmo News Battlefoil,Fire,,135,Patrick Mahomes,0,
N343,Dart-Board,Tecmo Bowl,Tecmo News Battlefoil,Fire,,135,Jaxson Dart,0,
N344,Bison,Tecmo Bowl,Tecmo News Battlefoil,Fire,,135,Josh Allen,0,
N345,Warp,Tecmo Bowl,Tecmo News Battlefoil,Fire,,135,Lamar Jackson,0,
N346,Bayou,Tecmo Bowl,Tecmo News Battlefoil,Fire,,130,Ja'Marr Chase,0,
N347,J-Jetts,Tecmo Bowl,Tecmo News Battlefoil,Fire,,130,Justin Jefferson,0,
N348,Reindeer Hunter,First Edition,Tecmo News Battlefoil,Fire,,130,Myles Garrett,0,
N349,Swervin’,First Edition,Tecmo News Battlefoil,Fire,,130,Michael Irvin,0,
N350,MoD,First Edition,Tecmo News Battlefoil,Fire,,130,Reggie White,0,
N351,Quads,First Edition,Tecmo News Battlefoil,Fire,,130,Saquon Barkley,0,
N352,Darn Old,First Edition,Tecmo News Battlefoil,Fire,,125,Sam Darnold,0,
N353,Phoenix,Tecmo Bowl,Tecmo News Battlefoil,Fire,,125,Bo Nix,0,
N354,Jax-In-the-Box,First Edition,Tecmo News Battlefoil,Fire,,125,Jaxon Smith-Njigba,0,
N355,Eagle-Eye,Tecmo Bowl,Tecmo News Battlefoil,Fire,,125,Jalen Hurts,0,
N356,Shrouded,Tecmo Bowl,Tecmo News Battlefoil,Fire,,125,C.J. Stroud,0,
N357,Myracle,First Edition,Tecmo News Battlefoil,Fire,,125,Jahmyr Gibbs,0,
N358,Skatter,First Edition,Tecmo News Battlefoil,Fire,,120,Cam Skattebo,0,
N359,Warden,Tecmo Bowl,Tecmo News Battlefoil,Fire,,120,Cam Ward,0,
N360,Yeti,Tecmo Bowl,Tecmo News Battlefoil,Fire,,120,Travis Kelce,0,
N361,BrockNess,Tecmo Bowl,Tecmo News Battlefoil,Fire,,120,Brock Bowers,0,
N362,McArmyKnife,Tecmo Bowl,Tecmo News Battlefoil,Fire,,120,Christian McCaffrey,0,
N363,Muffin Man,First Edition,Tecmo News Battlefoil,Fire,,120,Baker Mayfield,0,
N364,Youngblood,First Edition,Tecmo News Battlefoil,Fire,,115,Bryce Young,0,
N365,Switchblade,Tecmo Bowl,Tecmo News Battlefoil,Fire,,115,Travis Hunter,0,
N366,McVillain,First Edition,Tecmo News Battlefoil,Fire,,115,Tetairoa McMillan,0,
N367,Quarter Staff,First Edition,Tecmo News Battlefoil,Fire,,115,Matthew Stafford,0,
N368,Judkernaught,First Edition,Tecmo News Battlefoil,Fire,,115,Quinshon Judkins,0,
N369,Jeanetic,Tecmo Bowl,Tecmo News Battlefoil,Fire,,115,Ashton Jeanty,0,
N370,Coinslot,First Edition,Tecmo News Battlefoil,Fire,,110,Daniel Jones,0,
N371,Chanesaw,First Edition,Tecmo News Battlefoil,Fire,,110,Devon Achane,0,
N372,Mr. Irrelevant,Tecmo Bowl,Tecmo News Battlefoil,Fire,,110,Brock Purdy,0,
N373,Shadowstrike,First Edition,Tecmo News Battlefoil,Fire,,110,Davante Adams,0,
N374,Shepherd,Tecmo Bowl,Tecmo News Battlefoil,Fire,,110,CeeDee Lamb,0,
N375,Scary,Tecmo Bowl,Tecmo News Battlefoil,Fire,,110,Terry McLaurin,0,
N376,Lawman,Tecmo Bowl,Tecmo News Battlefoil,Fire,,105,Trevor Lawrence,0,
N377,Buttman,First Edition,Tecmo News Battlefoil,Fire,,105,Marion Butts,0,
N378,Criscross,First Edition,Tecmo News Battlefoil,Fire,,105,Cris Carter,0,
N379,Rockhead,First Edition,Tecmo News Battlefoil,Fire,,105,Chris Doleman,0,
N380,Brawn,Tecmo Bowl,Tecmo News Battlefoil,Fire,,105,A.J. Brown,0,
